CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,CALIDAD_DBO,DQO_mg/L,CALIDAD_DQO,SST_mg/L,CALIDAD_SST,COLI_FEC_NMP_100mL,CALIDAD_COLI_FEC,E_COLI_NMP_100mL,CALIDAD_E_COLI,ENTEROC_NMP_100mL,CALIDAD_ENTEROC,OD_PORC,CALIDAD_OD_PORC,OD_PORC_SUP,CALIDAD_OD_PORC_SUP,OD_PORC_MED,CALIDAD_OD_PORC_MED,OD_PORC_FON,CALIDAD_OD_PORC_FON,TOX_D_48_UT,CALIDAD_TOX_D_48,TOX_V_15_UT,CALIDAD_TOX_V_15,TOX_D_48_SUP_UT,CALIDAD TOX_D_48_SUP,TOX_D_48_FON_UT,CALIDAD_TOX_D_48_FON,TOX_FIS_SUP_15_UT,CALIDAD_TOX_FIS_SUP_15,TOX_FIS_FON_15_UT,CALIDAD_TOX_FIS_FON_15,SEMAFORO,CONTAMINANTES,CUMPLE_CON_DBO,CUMPLE_CON_DQO,CUMPLE_CON_SST,CUMPLE_CON_CF,CUMPLE_CON_E_COLI,CUMPLE_CON_ENTEROC,CUMPLE_CON_OD,CUMPLE_CON_TOX,GRUPO
OCFSU2956,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 2,FRONTERA SUR,CHIAPAS,LA TRINITARIA,LACANTUN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.67519,16.08530,2020,5.94,Buena calidad,65.76,Contaminada,24,Excelente,<3,Excelente,<3,Excelente,,,,,85.2,Excelente,72.4,Excelente,59.6,Buena calidad,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2957,PARQUE NACIONAL LAGUNAS DE MONTEBELLO 1,FRONTERA SUR,CHIAPAS,LA TRINITARIA,LACANTUN,LAGUNAS DE MONTEBELLO,LENTICO (HUMEDAL),LAGO,-91.66927,16.08659,2020,4.92,Buena calidad,64.8,Contaminada,20,Excelente,<3,Excelente,<3,Excelente,,,,,80.8,Excelente,73.1,Excelente,57.4,Buena calidad,,,,,<1,No Toxico,,,<1,No Toxico,,,Rojo,"DQO,",SI,NO,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2958,RIO LAGARTERO,FRONTERA SUR,CHIAPAS,LA TRINITARIA,LAGARTERO,RIO LAGARTERO,LOTICO,RIO,-91.91038,15.82521,2020,6,Buena calidad,31.2,Aceptable,24,Excelente,110,Buena calidad,110,Excelente,,,77.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCFSU2961,RIO GRIJALVA 26,FRONTERA SUR,CHIAPAS,FRONTERA COMALAPA,SAN MIGUEL,RIO GRIJALVA,LOTICO,RIO,-92.20420,15.82156,2020,5.22,Buena calidad,30.24,Aceptable,28,Buena calidad,930,Aceptable,750,Aceptable,,,81.2,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LOTICO
OCFSU2962,PRESA LA ANGOSTURA 2,FRONTERA SUR,CHIAPAS,SOCOLTENANGO,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMINGUEZ (LA ANGOSTURA),LENTICO (HUMEDAL),PRESA,-92.49302,16.06046,2020,<2,Excelente,29.52,Aceptable,32,Buena calidad,<3,Excelente,<3,Excelente,,,,,93.6,Excelente,81.1,Excelente,77.3,Excelente,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2963,PRESA LA ANGOSTURA 4,FRONTERA SUR,CHIAPAS,SOCOLTENANGO,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMINGUEZ (LA ANGOSTURA),LENTICO (HUMEDAL),PRESA,-92.52356,16.10099,2020,<2,Excelente,28.07,Aceptable,32,Buena calidad,430,Aceptable,150,Buena calidad,,,,,93.5,Excelente,90.3,Excelente,78.3,Excelente,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2964,PRESA LA ANGOSTURA 3,FRONTERA SUR,CHIAPAS,LA CONCORDIA,PRESA LA ANGOSTURA,PRESA DR. BELISARIO DOMINGUEZ (LA ANGOSTURA),LENTICO (HUMEDAL),PRESA,-92.56103,16.11814,2020,<2,Excelente,33.4,Aceptable,36,Buena calidad,40,Excelente,<3,Excelente,,,,,90.2,Excelente,84.1,Excelente,76.9,Excelente,,,,,<1,No Toxico,,,<1,No Toxico,,,Verde,,SI,SI,SI,SI,SI,ND,SI,SI,LENTICO
OCFSU2965,RIO SAN VICENTE 4,FRONTERA SUR,CHIAPAS,VENUSTIANO CARRANZA,AGUACATENCO,RIO SAN VICENTE,LOTICO,RIO,-92.45029,16.21274,2020,9,Aceptable,373.16,Fuertemente contaminada,56,Buena calidad,24000,Fuertemente contaminada,24000,Fuertemente contaminada,,,61.9,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DQO,CF,E_COLI,",SI,NO,SI,NO,NO,ND,SI,SI,LOTICO
OCFSU2966,SUMIDERO,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASEN,RIO AMARILLO,LOTICO,RIO,-92.64566,16.71376,2020,85.23,Contaminada,94.22,Contaminada,,,930,Aceptable,150,Buena calidad,,,58.4,Buena calidad,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Rojo,"DBO,DQO,",NO,NO,ND,SI,SI,ND,SI,SI,LOTICO
OCFSU2967,RIO FOGOTICO,FRONTERA SUR,CHIAPAS,SAN CRISTOBAL DE LAS CASAS,PRESA CHICOASEN,RIO FOGOTICO,LOTICO,RIO,-92.61464,16.73380,2020,5.4,Buena calidad,32.64,Aceptable,56,Buena calidad,2400,Contaminada,930,Contaminada,,,77.1,Excelente,,,,,,,<1,No Toxico,<1,No Toxico,,,,,,,,,Amarillo,"CF,E_COLI,",SI,SI,SI,NO,NO,ND,SI,SI,LOTICO
